"VarName","VarDesc","Details"
"ALQ101","The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.  In any one year, {have you/has SP} had at least 12 drinks of any type of  alcoholic beverage? By a drink, I mean a 12 oz. beer, a 4 oz. glass of wine, or an ounce of liquor.","[ALQ_C]
(Questionnaire / Alcohol Use)"
"ALQ110","In {your/SP's} entire life, {have you/has he/ has she} had at least 12 drinks of any type of alcoholic beverage?","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F, ALQ_G, ALQ_H]
(Questionnaire / Alcohol Use)"
"ALQ110","In {your/SP's} entire life, {have you/has he/has she} had at least 12 drinks of any type of alcoholic beverage?","[ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ111","The next questions are about drinking alcoholic beverages. Included are liquor (such as whiskey or gin), beer, wine, wine coolers, and any other type of alcoholic beverage.
In {your/SP's} entire life, {have you/has he/has she} had at least 1 drink of any kind of alcohol, not counting small tastes or sips? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ120Q","In the past 12 months, how often did {you/SP} drink any type of alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} drink?","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F, ALQ_G, ALQ_H, ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ120U","UNIT OF MEASURE.","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F, ALQ_G, ALQ_H, ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ121","During the past 12 months, about how often did {you/SP} drink any type of alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} drink?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ130","During the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ130","In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have?","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F, ALQ_G, ALQ_H]
(Questionnaire / Alcohol Use)"
"ALQ130","In the past 12 months, on those days that {you/SP} drank alcoholic beverages, on the average, how many drinks did {you/he/she} have? By a drink, I mean a 12 oz. beer, a 5 oz. glass of wine, or one and a half ounces of liquor.)","[ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ140Q","In the past 12 months, on how many days did {you/SP} have 5 or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have 5 or more drinks in a single day?","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F]
(Questionnaire / Alcohol Use)"
"ALQ140U","UNIT OF MEASURE.","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F]
(Questionnaire / Alcohol Use)"
"ALQ141Q","In the past 12 months, on how many days did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage? PROBE:  How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?","[ALQ_G, ALQ_H]
(Questionnaire / Alcohol Use)"
"ALQ141Q","In the past 12 months, on how many days did {you/SP} have {Display number} or more drinks of any alcoholic beverage? PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?","[ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ141U","UNIT OF MEASURE.","[ALQ_G, ALQ_H, ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ142","During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks of any alcoholic beverage?
PROBE: How many days per week, per month, or per year did {you/SP} have {DISPLAY NUMBER} or more drinks in a single day?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ150","Was there ever a time or times in {your/SP's} life when {you/he/she} drank 5 or more drinks of any kind of alcoholic beverage almost every day?","[ALQ, ALQ_B, ALQ_C, ALQ_D, ALQ_E, ALQ_F]
(Questionnaire / Alcohol Use)"
"ALQ151","Was there ever a time or times in {your/SP's} life when {you/he/she} drank {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?","[ALQ_G, ALQ_H, ALQ_I, ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ155","For about how many years did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcoholic beverage almost every day?","[ALQ_G]
(Questionnaire / Alcohol Use)"
"ALQ160","During the past 30 days, how many times did {you/SP} drink {DISPLAY NUMBER} or more drinks of any kind of alcohol in about two hours?","[ALQ_H, ALQ_I]
(Questionnaire / Alcohol Use)"
"ALQ170","Considering all types of alcoholic beverages, during the past 30 days, how many times did you have {5/4} or more drinks on an occasion?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ270","During the past 12 months, about how often did {you/SP} have {DISPLAY NUMBER} or more drinks in a period of two hours or less?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ280","During the past 12 months, about how often did {you/SP} have 8 or more drinks in a single day?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ALQ290","During the past 12 months, about how often did {you/SP} have 12 or more drinks in a single day?","[ALQ_J]
(Questionnaire / Alcohol Use)"
"ARD026A","How often did {you/SP} get NECK pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026B","How often did {you/SP} get UPPER BACK pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026C","How often did {you/SP} get MID BACK pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026D","How often did {you/SP} get LOW BACK pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026E","How often did {you/SP} get BUTTOCKS pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026F","How often did {you/SP} get HIP pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD026G","How often did {you/SP} get RIB CAGE pain, aching or stiffness? Did {you/SP} have it…","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD118AE","Was the cause of the pain at Location A: injury, sprain, strain or fracture","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD118AO","Was the cause of the pain at Location A- all other causes","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD118BE","Was the cause of the pain at Location B: injury, sprain, strain","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD118BO","Was the cause of the pain at  Location B: all other causes","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD125A","Next are some questions about conditions that affect the eyes, the intestines, or bones and joints. Has a doctor or other health professional ever told {you/SP} that {you/s/he} had iritis (eye-right-us)or uveitis (you-vee-eye-t-us)?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARD130A","Did {you/SP} have pain and sensitivity to light in just one eye at a time, and for which {you/s/he} used eye drops prescribed by an eye doctor?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARDDINEX","MEASURED DIFFERENCE IN CHEST CIRCUMFERENCE, INSPIRATION MINUS EXHALATION (IN CM)","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARDEXSTS","ARTHRITIS BODY MEASURES EXAMINATION STATUS","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARDLFTL","THE DISTANCE IN CM BETWEEN THE TWO INDICATOR MARKS PLACED ON THE LOWER BACK WHEN THE EXAMINEE BENDS FORWARD IN FLEXION MINUS 10 CM (10 CM IS THE BASELINE DISTANCE BETWEEN THE INDICATOR MARKS WHEN THE EXAMINEE  STANDS UPRIGHT)","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARICCEX","CHEST CIRCUMFERENCE, EXHALATION COMMENT","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARICCIN","CHEST CIRCUMFERENCE, INSPIRATION COMMENT","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARILFTL","LUMBAR FLEXION TEST LENGTH COMMENT","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARIO2WD","OCCIPUT-TO-WALL DISTANCE COMMENT","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARIXDIST","DISTANCE BETWEEN CHEST CIRCUMFERENCE MEASUREMENT LANDMARKS COMMENT","[ARX_F]
(Examination / Arthritis Body Measures)"
"ARQ010","These next questions are about pain in the back, neck or hip area that {you/SP} may have had. Please look at this hand card. HAND CARD ARQ1 {Have you/Has SP} ever had pain, aching or stiffness in any of these locations almost every day for at least 6 weeks in a row? Include pain even if it was mild.","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020A","Pain Diagram Area 1: Neck","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020B","Pain Diagram Area 2: Upper Back","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020C","Pain Diagram Area 3: Mid Back","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020D","Pain Diagram Area 4: Low Back","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020E","Pain Diagram Area 5: Buttocks","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020F","Pain Diagram Area 6: Anterior Hips","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ020G","Pain Diagram Area 7: Sternum and Anterior Rib Cage","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AA","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} NECK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AB","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} UPPER BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AC","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} MID BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AD","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} LOW BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AE","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} BUTTOCKS? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AF","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} HIP? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021AG","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} RIB CAGE? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BA","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} NECK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BB","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} UPPER BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BC","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} MID BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BD","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} LOW BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BE","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} BUTTOCKS? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BF","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} HIP? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021BG","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} RIB CAGE? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CA","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} NECK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CB","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} UPPER BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CC","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} MID BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CD","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} LOW BACK? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CE","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} BUTTOCKS? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CF","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} HIP? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ021CG","Next we are going to ask you a series of questions about the location{s} you just mentioned. Which specifically did {you/SP} have in {your/his/her} RIB CAGE? Was it...","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022A","How old {were you/was SP} when {you/s/he} first had NECK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AA","Do {you/SP} still have NECK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AB","Do {you/SP} still have UPPER BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AC","Do {you/SP} still have MID BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AD","Do {you/SP} still have LOW BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AE","Do {you/SP} still have BUTTOCKS pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AF","Do {you/SP} still have HIP pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022AG","Do {you/SP} still have RIB CAGE pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022B","How old {were you/was SP} when {you/s/he} first had UPPER BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022C","How old {were you/was SP} when {you/s/he} first had MID BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022D","How old {were you/was SP} when {you/s/he} first had LOW BACK pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022E","How old {were you/was SP} when {you/s/he} first had BUTTOCKS pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022F","How old {were you/was SP} when {you/s/he} first had HIP pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ022G","How old {were you/was SP} when {you/s/he} first had RIB CAGE pain, aching or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GA","When did {you/s/he} last have NECK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GB","When did {you/s/he} last have UPPER BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GC","When did {you/s/he} last have MID BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GD","When did {you/s/he} last have LOW BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GE","When did {you/s/he} last have BUTTOCKS pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GF","When did {you/s/he} last have HIP pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023GG","When did {you/s/he} last have RIB CAGE pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023QA","How old {were you/was SP} when {you/s/he} last had NECK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023QB","How old {were you/was SP} when {you/s/he} last had UPPER BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023QC","How old {were you/was SP} when {you/s/he} last had MID BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023QD","How old {were you/was SP} when {you/s/he} last had LOW BACK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
"ARQ023QE","How old {were you/was SP} when {you/s/he} last had BUTTOCK pain, aching, or stiffness?","[ARQ_F]
(Questionnaire / Arthritis)"
